City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
moerai,-22.43,-151.33,69.62,80,22,17.98,PF,1598816030
bathsheba,13.22,-59.52,87.8,70,40,12.75,BB,1598815859
cape town,-33.93,18.42,48.0,75,0,2.24,ZA,1598816030
matagami,49.75,-77.63,60.8,51,75,10.22,CA,1598816030
airai,-8.93,125.41,56.39,100,3,4.0,TL,1598816031
atar,20.52,-13.05,102.2,18,0,11.41,MR,1598816031
hithadhoo,-0.6,73.08,82.42,75,63,10.76,MV,1598816031
touros,-5.2,-35.46,82.4,58,0,13.87,BR,1598816032
hermanus,-34.42,19.23,41.0,90,0,12.1,ZA,1598816032
westport,41.14,-73.36,79.0,39,40,20.8,US,1598816032
ushuaia,-54.8,-68.3,28.4,92,75,29.97,AR,1598815886
mahebourg,-20.41,57.7,71.6,83,75,18.34,MU,1598816033
bredasdorp,-34.53,20.04,41.0,86,18,5.82,ZA,1598816033
methoni,36.82,21.7,78.8,57,0,4.7,GR,1598816033
saldanha,-33.01,17.94,48.2,70,0,3.36,ZA,1598815843
port alfred,-33.59,26.89,50.99,72,45,11.77,ZA,1598816034
te anau,-45.42,167.72,48.02,74,86,10.85,NZ,1598815739
mar del plata,-38.0,-57.56,59.0,28,0,20.8,AR,1598815757
albany,42.6,-73.97,73.0,42,0,12.1,US,1598816034
kapaa,22.08,-159.32,82.99,69,20,16.11,US,1598816034
maragogi,-9.01,-35.22,75.9,84,33,12.8,BR,1598816035
puerto ayora,-0.74,-90.35,77.0,57,100,19.46,EC,1598816035
hilo,19.73,-155.09,82.4,65,90,3.36,US,1598815995
yulara,-25.24,130.99,55.4,54,0,5.82,AU,1598816035
mataura,-46.19,168.86,49.41,59,100,8.3,NZ,1598816036
khatanga,71.97,102.5,44.22,88,92,7.74,RU,1598816036
katsuura,35.13,140.3,80.6,94,75,5.82,JP,1598816036
butaritari,3.07,172.79,82.63,75,12,12.26,KI,1598816037
labuhan,-6.88,112.21,75.81,80,97,6.2,ID,1598816037
geraldton,-28.77,114.6,44.6,93,0,8.05,AU,1598816037
kieta,-6.22,155.63,79.75,75,74,6.02,PG,1598816037
cidreira,-30.18,-50.21,57.65,92,100,13.24,BR,1598816038
severnoye,56.35,78.36,55.98,91,8,5.17,RU,1598816038
bambous virieux,-20.34,57.76,71.6,83,75,18.34,MU,1598816038
new norfolk,-42.78,147.06,44.01,74,2,1.99,AU,1598816039
kahului,20.89,-156.47,84.2,54,20,21.92,US,1598815779
